                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     45,               0.035838,               0.028439,               0.021895,               0.060499,                0.46903,                0.15397,                0.11666,               0.073796,                0.46799,                0.15256,                0.11407,               0.075399,               0.042916,               0.034106,                0.02813,               0.071989,               0.005644,               0.005644,               0.005644
                     46,               0.035749,               0.028151,               0.022213,               0.059564,                0.50315,                0.15608,                0.13077,               0.088782,                0.50191,                  0.154,                0.12979,               0.087417,                0.04244,                0.03256,               0.028356,                 0.0718,               0.005545,               0.005545,               0.005545
                     47,               0.035407,               0.027905,               0.023253,                0.05879,                 0.4903,                0.14997,                0.12007,               0.078371,                0.49058,                0.15744,                0.11996,               0.082666,               0.042295,               0.032705,               0.028311,               0.070088,               0.005446,               0.005446,               0.005446
                     48,               0.035212,               0.027507,               0.021805,               0.058542,                0.45719,                0.15842,                0.13087,               0.084695,                0.45923,                0.15926,                0.13063,               0.086715,               0.040666,               0.032834,               0.028056,               0.070363,               0.005347,               0.005347,               0.005347
                     49,               0.034564,               0.027639,               0.022282,               0.058842,                0.38766,                0.16716,                0.13494,               0.094541,                0.39111,                0.16663,                0.13314,               0.095481,               0.041245,               0.032467,               0.027892,               0.070117,               0.005248,               0.005248,               0.005248
                     50,               0.034938,               0.027071,               0.022004,               0.057123,                0.45352,                0.16061,                 0.1207,               0.081076,                0.45619,                0.16155,                0.12185,               0.079216,               0.041623,               0.032749,               0.028044,               0.070037,               0.005149,               0.005149,               0.005149
                     51,               0.034011,               0.027425,               0.021478,               0.058603,                0.50383,                0.11784,                0.12394,               0.083126,                0.50417,                 0.1162,                0.11907,               0.080334,               0.041115,               0.032267,               0.028025,               0.071798,                0.00505,                0.00505,                0.00505
                     52,               0.034238,               0.027417,               0.021183,               0.055896,                0.55907,                0.11977,                0.12327,               0.079335,                0.55581,                0.11702,                0.12081,               0.079467,               0.040912,               0.032511,               0.028932,                0.07096,               0.004951,               0.004951,               0.004951
                     53,               0.034537,               0.027168,               0.021747,               0.056937,                0.40959,                0.16978,                0.13764,               0.092398,                0.40808,                0.16799,                0.13732,               0.090768,                0.04087,               0.031812,                0.02842,               0.070518,               0.004852,               0.004852,               0.004852
                     54,               0.034489,               0.027198,               0.021364,               0.056659,                0.46608,                0.17629,                0.13922,                0.09402,                 0.4686,                0.17573,                0.13745,               0.096004,               0.040775,               0.032932,               0.027945,               0.070772,               0.004753,               0.004753,               0.004753
                     55,                0.03352,               0.027076,               0.021513,               0.054864,                0.52605,                0.15094,                0.12689,               0.091556,                0.52221,                0.14761,                0.12349,               0.089556,               0.041945,               0.032593,               0.028131,               0.070501,               0.004654,               0.004654,               0.004654
                     56,               0.033896,               0.027329,               0.020761,               0.054727,                 0.4564,                0.16225,                 0.1279,               0.085944,                0.45371,                0.15661,                0.12318,               0.086986,               0.040285,               0.032093,               0.028532,               0.070513,               0.004555,               0.004555,               0.004555
                     57,                0.03364,               0.026226,                0.02054,               0.055477,                0.39724,                 0.1908,                0.12852,               0.092589,                0.39526,                0.18421,                0.12484,               0.089026,               0.040635,                0.03222,                0.02783,               0.069705,               0.004456,               0.004456,               0.004456
                     58,               0.033329,               0.026787,               0.020469,               0.053549,                0.45961,                0.17488,                0.14255,               0.099542,                 0.4598,                0.17134,                0.13585,               0.096415,               0.040247,               0.033445,               0.028358,               0.070648,               0.004357,               0.004357,               0.004357
                     59,               0.032789,               0.025529,               0.021043,               0.052985,                0.46432,                0.17602,                0.13919,               0.092902,                0.46236,                0.17042,                0.13617,               0.093065,               0.040927,               0.033251,               0.028413,               0.071219,               0.004258,               0.004258,               0.004258
                     60,               0.032535,               0.025686,               0.021115,               0.053892,                0.43587,                 0.1989,                0.13647,                0.09452,                0.43374,                0.19624,                0.13441,               0.096927,               0.040779,               0.032557,               0.027846,               0.070653,               0.004159,               0.004159,               0.004159
                     61,               0.032523,               0.026216,               0.020752,               0.052442,                0.45373,                0.19155,                0.13322,               0.094492,                 0.4509,                0.18528,                0.13111,               0.093241,               0.039517,               0.031668,               0.027827,               0.069848,                0.00406,                0.00406,                0.00406
                     62,               0.031944,               0.025525,               0.020201,               0.052522,                0.50261,                0.14971,                0.13067,               0.093665,                0.50208,                0.14874,                0.12876,               0.091583,               0.041367,                0.03318,               0.028152,               0.069994,               0.003961,               0.003961,               0.003961
                     63,               0.032205,                0.02566,               0.020553,                0.05196,                0.49287,                0.17139,                0.12977,               0.093641,                0.49213,                0.17041,                0.13183,                0.09275,               0.040187,               0.033701,               0.028764,               0.070421,               0.003862,               0.003862,               0.003862
